plan_type,contract_type,autopay,is_promo_user,add_on_count,tenure_months,monthly_usage_gb,avg_latency_ms,support_tickets_30d,discount_pct,payment_failures_90d,downtime_hours_30d,churned
Basic,Monthly,No,No,1,30,127.72,159.4,1,12.2,0,2.23,0
Basic,Monthly,No,No,0,11,113.31,158.5,0,2.6,1,1.3,1
Standard,Monthly,Yes,No,0,38,202.81,152.1,2,1.5,0,2.03,0
Standard,Monthly,No,No,2,20,215.0,192.2,1,17.8,0,1.24,0
Standard,Monthly,No,Yes,2,16,107.22,155.2,1,26.9,0,0.89,0
Basic,Monthly,Yes,Yes,0,18,73.13,115.1,0,13.6,1,1.16,1
Standard,Annual,No,No,1,39,139.74,206.8,0,7.4,0,2.49,0
Basic,Annual,Yes,No,0,21,200.09,190.1,0,20.0,1,1.67,0
Basic,Monthly,Yes,No,0,6,73.83,128.0,1,5.8,0,3.76,1
Pro,Monthly,Yes,No,1,37,217.97,137.0,0,18.0,0,2.25,0
Basic,Annual,No,No,0,40,186.6,158.6,1,4.5,2,0.5,0
Basic,Monthly,No,No,4,14,69.64,178.4,0,26.2,0,3.32,1
Basic,Monthly,No,No,1,15,173.98,142.7,1,14.2,0,0.93,0
Basic,Annual,No,Yes,1,32,167.11,145.5,0,14.9,1,0.72,0
Basic,Annual,Yes,No,2,33,145.14,188.7,0,8.3,0,1.08,0
Pro,Monthly,Yes,No,1,19,79.23,77.7,1,4.8,0,0.89,0
Standard,Monthly,No,No,0,15,166.33,168.5,1,27.8,0,1.92,1
Standard,Annual,No,No,1,9,120.34,196.1,1,11.7,0,3.29,0
Basic,Monthly,Yes,No,0,12,66.95,133.6,0,8.8,0,0.9,1
Pro,Monthly,No,Yes,0,1,143.32,161.2,1,11.4,0,2.31,0
Basic,Monthly,Yes,Yes,1,22,101.09,149.0,1,11.2,0,4.56,1
Standard,Annual,No,No,0,10,133.76,150.3,2,11.3,0,0.32,0
Standard,Monthly,Yes,No,1,23,35.89,204.0,2,28.1,0,2.67,1
Basic,Monthly,Yes,No,2,23,141.57,148.4,0,17.0,1,2.1,0
Standard,Monthly,Yes,No,3,29,118.31,206.4,1,11.6,1,1.97,0
Basic,Monthly,No,No,0,45,130.82,133.9,1,12.8,0,2.28,0
Basic,Monthly,No,No,2,12,133.63,252.7,0,17.6,1,0.42,1
Basic,Annual,No,No,0,28,87.6,171.7,1,8.9,1,2.29,1
Standard,Monthly,No,No,0,11,140.48,199.2,1,25.5,0,3.06,0
Pro,Monthly,Yes,No,1,7,98.12,171.1,1,11.4,0,0.89,0
Basic,Monthly,No,No,1,41,137.98,177.0,1,21.5,0,1.01,0
Basic,Monthly,Yes,Yes,0,19,163.19,206.0,0,6.2,1,2.93,0
Standard,Annual,No,No,1,20,39.76,192.4,2,17.1,0,0.47,1
Basic,Monthly,No,No,1,51,120.08,140.9,0,16.0,0,2.85,0
Basic,Monthly,Yes,No,2,23,174.35,92.1,0,21.0,0,1.1,0
Pro,Monthly,Yes,No,0,14,76.71,85.9,2,10.8,0,1.28,0
Basic,Annual,Yes,No,1,38,159.05,152.6,1,5.9,0,4.02,0
Standard,Monthly,No,No,2,24,203.89,157.1,1,17.0,0,2.85,0
Standard,Monthly,Yes,No,2,11,114.32,133.9,2,39.8,0,1.16,0
Basic,Monthly,No,Yes,1,15,152.24,168.4,3,25.8,0,1.92,0
Standard,Monthly,Yes,No,0,43,99.89,181.6,1,3.9,1,1.58,0
Basic,Monthly,Yes,No,2,20,128.6,99.7,0,9.1,0,1.84,0
Basic,Monthly,No,No,0,10,80.3,107.5,2,22.3,0,3.4,1
Standard,Monthly,No,No,2,32,93.62,257.4,1,4.2,1,2.89,1
Standard,Monthly,No,No,2,27,164.1,214.7,2,24.6,1,0.88,0
Basic,Monthly,Yes,No,1,21,117.07,143.6,2,8.8,0,2.14,1
Basic,Monthly,No,Yes,0,14,74.96,144.1,0,4.7,0,1.62,1
Standard,Monthly,No,No,2,25,80.68,176.3,0,13.9,0,1.71,1
Basic,Monthly,No,Yes,0,17,88.64,193.7,0,7.6,0,1.69,1
Standard,Monthly,No,No,1,23,90.52,147.8,0,14.2,1,1.63,1
Basic,Monthly,No,No,1,31,190.38,111.0,1,27.4,0,2.46,0
Standard,Monthly,Yes,No,2,2,178.5,212.6,1,19.9,0,2.06,0
Standard,Monthly,No,No,0,22,114.09,235.4,2,11.0,1,0.56,1
Pro,Monthly,No,No,2,13,176.94,171.9,0,6.6,0,1.97,0
Pro,Monthly,No,No,1,26,117.84,182.0,1,12.6,0,0.72,0
Basic,Monthly,No,No,1,43,205.09,158.8,1,7.4,0,0.45,0
Standard,Monthly,No,No,2,23,73.3,164.8,1,16.6,0,0.81,0
Standard,Annual,Yes,Yes,1,19,76.63,120.3,0,18.6,0,1.98,0
Pro,Monthly,Yes,No,0,13,136.31,204.5,0,4.8,0,0.51,0
Standard,Annual,Yes,No,3,26,139.02,126.8,1,3.0,0,2.36,0
Basic,Monthly,No,No,2,28,160.22,120.1,1,19.7,0,2.74,0
Standard,Monthly,No,No,2,23,209.81,195.8,1,14.0,0,1.18,0
Basic,Annual,No,Yes,3,21,190.76,147.7,1,4.1,0,1.64,0
Pro,Monthly,Yes,Yes,1,32,138.06,175.8,3,11.5,1,0.51,0
Pro,Monthly,No,No,0,29,95.24,59.3,0,9.5,0,1.41,0
Pro,Monthly,No,Yes,0,12,147.04,109.2,1,4.4,0,1.59,0
Basic,Monthly,No,No,0,33,142.07,71.6,3,9.8,0,1.42,0
Standard,Monthly,Yes,Yes,1,7,66.82,203.0,1,10.3,0,1.86,1
Basic,Monthly,No,No,2,6,108.96,173.6,0,3.7,0,3.5,1
Basic,Monthly,Yes,No,2,10,67.54,94.9,0,24.6,1,1.29,0
Standard,Monthly,No,No,1,10,152.9,154.4,1,24.6,0,0.94,0
Basic,Monthly,No,No,3,24,34.05,123.9,1,8.2,0,1.3,0
Basic,Monthly,No,No,1,25,141.95,138.3,2,8.9,0,0.94,0
Standard,Monthly,Yes,No,3,9,148.1,109.6,0,11.3,0,0.5,0
Standard,Monthly,Yes,No,1,26,175.86,147.8,3,12.8,0,1.71,0
Basic,Monthly,Yes,No,4,17,251.62,260.5,1,7.4,0,1.36,0
Standard,Monthly,No,Yes,2,28,150.4,253.6,1,14.6,0,1.01,0
Pro,Monthly,Yes,No,2,22,159.17,175.4,2,18.3,0,2.46,0
Basic,Monthly,No,No,0,34,172.69,211.6,1,18.6,0,3.0,0
Basic,Monthly,Yes,No,0,31,158.03,114.5,1,5.3,0,0.72,0
Basic,Monthly,No,No,3,13,146.34,219.5,1,7.7,0,2.37,1
Basic,Monthly,No,No,2,8,95.08,139.7,0,14.2,1,1.98,1
Standard,Annual,Yes,Yes,2,16,109.11,221.6,2,7.5,0,0.43,0
Basic,Annual,Yes,No,0,25,72.97,114.5,0,18.0,0,0.41,0
Standard,Monthly,No,Yes,1,34,219.88,133.1,2,14.8,0,0.85,0
Standard,Monthly,No,Yes,0,13,205.46,170.1,0,14.2,1,1.06,0
Standard,Monthly,No,No,1,20,53.8,101.9,0,19.8,0,2.46,1
Standard,Annual,No,No,2,20,107.86,114.3,1,20.1,0,1.76,0
Pro,Monthly,Yes,No,0,21,132.99,199.9,2,5.6,0,0.68,0
Basic,Monthly,Yes,No,1,13,176.33,145.1,3,24.3,0,2.36,0
Pro,Monthly,No,Yes,1,24,123.85,77.7,1,10.2,0,2.37,0
Standard,Monthly,No,No,1,30,126.62,131.8,2,5.8,0,2.18,0
Standard,Annual,No,No,1,27,190.15,68.7,3,3.3,0,2.05,0
Basic,Monthly,Yes,No,0,21,128.02,153.3,0,7.4,0,1.68,0
Basic,Monthly,No,No,3,3,120.16,186.4,1,24.3,0,8.77,1
Standard,Monthly,Yes,No,3,11,163.72,185.8,1,24.8,0,3.8,1
Basic,Annual,No,Yes,0,12,139.25,214.2,0,19.0,0,2.46,0
Basic,Monthly,No,Yes,0,17,175.0,186.5,1,13.9,0,1.72,1
Basic,Monthly,Yes,No,1,12,173.69,151.3,0,16.4,0,3.42,0
Standard,Monthly,Yes,No,2,32,82.03,167.1,1,19.9,0,1.49,0
Basic,Monthly,No,No,0,15,164.51,141.8,1,28.4,0,0.85,0
Basic,Monthly,Yes,No,0,22,130.48,154.7,0,9.0,0,0.66,0
Standard,Monthly,No,No,3,23,36.65,175.0,0,4.4,0,2.4,1
Standard,Annual,No,No,0,18,75.03,160.3,1,15.4,0,2.15,1
