plan_type,contract_type,autopay,is_promo_user,add_on_count,tenure_months,monthly_usage_gb,avg_latency_ms,support_tickets_30d,discount_pct,payment_failures_90d,downtime_hours_30d,churned
Pro,Annual,Yes,No,3,20,119.64,116.7,0,10.6,0,2.12,0
Basic,Monthly,No,No,0,18,176.75,94.8,0,32.0,0,0.45,0
Pro,Monthly,No,Yes,0,9,99.24,154.2,0,9.1,0,2.66,1
Basic,Monthly,Yes,No,0,5,223.85,110.0,0,36.2,0,1.43,0
Standard,Monthly,Yes,No,0,14,129.45,68.8,1,11.7,1,1.2,0
Standard,Monthly,No,No,0,4,116.39,115.2,0,5.1,1,0.31,1
Pro,Monthly,No,No,1,9,154.92,171.3,0,22.0,0,2.71,0
Pro,Monthly,No,No,0,38,93.09,109.3,2,20.9,0,3.83,0
Basic,Monthly,Yes,No,1,8,65.13,145.0,1,40.6,0,3.04,1
Standard,Monthly,No,No,0,25,103.35,159.3,1,16.9,0,0.08,1
Basic,Monthly,Yes,No,0,45,184.58,138.2,0,7.0,1,0.24,0
Basic,Monthly,No,Yes,1,13,92.32,182.8,1,18.6,0,2.12,1
Basic,Annual,Yes,No,2,23,131.86,195.9,1,16.3,1,0.62,0
Basic,Monthly,Yes,No,1,12,175.32,77.0,1,14.3,0,1.18,0
Standard,Monthly,No,No,1,22,163.79,126.3,0,15.8,1,0.51,0
Standard,Monthly,Yes,No,3,16,74.13,139.4,2,20.8,0,0.86,0
Basic,Monthly,Yes,No,1,26,97.03,81.6,0,18.8,0,1.37,0
Basic,Monthly,Yes,Yes,0,6,203.55,144.8,0,18.9,0,0.73,0
Standard,Annual,No,Yes,0,8,130.35,123.7,0,29.9,0,6.13,1
Standard,Monthly,Yes,No,1,2,213.48,174.2,0,12.2,0,3.47,1
Standard,Annual,Yes,No,1,10,156.6,104.0,0,33.1,0,0.62,0
Basic,Monthly,Yes,No,2,26,128.33,67.8,0,13.7,0,0.75,0
Basic,Monthly,No,No,1,14,115.78,171.2,1,5.2,0,0.73,1
Standard,Annual,Yes,No,3,26,173.1,183.8,2,17.2,0,0.7,0
Basic,Annual,Yes,No,3,19,127.49,103.1,0,5.4,0,2.66,0
Basic,Monthly,Yes,No,0,26,191.62,162.2,1,14.8,0,3.42,0
Basic,Monthly,Yes,Yes,0,22,123.72,163.2,0,12.4,0,0.93,0
Pro,Monthly,Yes,No,2,7,90.16,155.7,2,9.7,1,1.19,0
Basic,Annual,Yes,No,0,26,136.37,108.1,1,24.9,0,1.21,0
Basic,Monthly,No,Yes,1,32,146.56,130.3,1,5.2,2,3.14,1
Basic,Annual,No,No,1,23,101.71,109.0,2,5.4,0,1.88,0
Basic,Annual,Yes,No,1,7,102.55,242.6,0,5.1,1,1.08,1
Pro,Annual,Yes,No,1,41,134.47,155.6,0,7.8,0,0.74,0
Basic,Annual,Yes,Yes,1,30,77.38,110.4,2,10.2,0,4.04,1
Pro,Monthly,No,No,2,31,222.28,135.8,0,1.4,0,0.35,0
Basic,Monthly,No,Yes,1,9,99.54,124.5,2,16.9,0,2.39,1
Standard,Monthly,Yes,No,0,34,99.0,131.8,0,18.6,0,1.12,0
Pro,Annual,Yes,Yes,0,38,123.78,134.8,0,14.3,0,0.76,0
Standard,Monthly,Yes,Yes,0,13,101.28,111.4,1,11.6,0,2.72,1
Standard,Monthly,No,No,0,38,86.82,135.8,0,32.7,1,2.04,0
Standard,Annual,Yes,No,1,26,178.57,141.8,0,27.0,0,0.97,0
Basic,Annual,No,Yes,3,5,47.33,159.8,1,5.8,1,1.48,1
Basic,Monthly,Yes,No,1,22,192.45,101.0,0,12.4,0,0.29,0
Basic,Annual,Yes,No,3,12,152.58,158.4,2,31.3,0,2.49,0
Basic,Annual,No,No,2,31,109.09,146.2,0,27.3,0,1.16,0
Basic,Monthly,No,Yes,0,12,133.6,175.9,0,15.2,0,2.08,1
Basic,Monthly,Yes,Yes,2,39,145.6,207.4,0,14.8,1,4.08,0
Basic,Monthly,No,No,4,7,92.28,132.3,0,12.8,0,0.55,1
Basic,Monthly,Yes,No,0,11,141.96,144.0,0,14.1,0,0.42,0
Standard,Monthly,Yes,No,3,25,110.79,135.6,1,44.2,0,2.11,0
Basic,Monthly,Yes,Yes,0,10,78.72,119.2,1,7.4,0,0.02,0
Basic,Monthly,No,No,1,20,156.37,128.8,0,25.7,0,1.88,0
